No.,YYYYMM,Value
0,197301,1957.641
1,197302,1712.143
2,197303,1510.079
3,197304,1183.421
4,197305,1006.326
5,197306,914.949
6,197307,961.872
7,197308,994.259
8,197309,937.083
9,197310,978.162
10,197311,1202.105
11,197312,1538.568
12,197401,1846.93
13,197402,1589.448
14,197403,1451.073
15,197404,1215.228
16,197405,1003.821
17,197406,916.835
18,197407,992.665
19,197408,966.36
20,197409,901.7
21,197410,992.604
22,197411,1148.216
23,197412,1629.89
24,197501,1778.493
25,197502,1639.284
26,197503,1559.255
27,197504,1376.209
28,197505,1026.718
29,197506,923.084
30,197507,980.968
31,197508,989.911
32,197509,910.485
33,197510,941.869
34,197511,1069.879
35,197512,1615.313
36,197601,2013.137
37,197602,1687.801
38,197603,1448.084
39,197604,1164.986
40,197605,1002.273
41,197606,947.705
42,197607,988.055
43,197608,981.429
44,197609,906.46
45,197610,1000.607
46,197611,1382.482
47,197612,1885.262
48,197701,2280.626
49,197702,1884.389
50,197703,1453.045
51,197704,1130.683
52,197705,967.509
53,197706,952.115
54,197707,1065.61
55,197708,1045.62
56,197709,957.999
57,197710,1012.345
58,197711,1177.765
59,197712,1730.504
60,197801,2027.305
61,197802,1951.199
62,197803,1712.875
63,197804,1210.914
64,197805,1071.934
65,197806,990.484
66,197807,1072.906
67,197808,1101.275
68,197809,1016.781
69,197810,1039.957
70,197811,1225.672
71,197812,1707.223
72,197901,2108.841
73,197902,2007.392
74,197903,1615.631
75,197904,1242.639
76,197905,1023.883
77,197906,946.094
78,197907,1024.767
79,197908,1072.946
80,197909,961.867
81,197910,1009.412
82,197911,1209.48
83,197912,1588.171
84,198001,1838.468
85,198002,1793.352
86,198003,1615.14
87,198004,1212.227
88,198005,1008.788
89,198006,993.775
90,198007,1152.33
91,198008,1157.857
92,198009,1029.125
93,198010,1038.329
94,198011,1232.913
95,198012,1680.995
96,198101,2032.325
97,198102,1693.078
98,198103,1449.833
99,198104,1107.16
100,198105,990.873
101,198106,999.215
102,198107,1113.688
103,198108,1075.509
104,198109,939.617
105,198110,1046.335
106,198111,1186.174
107,198112,1622.184
108,198201,2058.643
109,198202,1757.891
110,198203,1541.14
111,198204,1296.61
112,198205,999.916
113,198206,960.126
114,198207,1090.934
115,198208,1087.973
116,198209,1010.53
117,198210,1002.061
118,198211,1172.649
119,198212,1549.38
120,198301,1936.537
121,198302,1593.065
122,198303,1502.133
123,198304,1280.932
124,198305,1029.688
125,198306,967.119
126,198307,1125.715
127,198308,1199.584
128,198309,1040.331
129,198310,970.636
130,198311,1134.923
131,198312,1642.798
132,198401,2147.184
133,198402,1685.511
134,198403,1602.321
135,198404,1294.122
136,198405,1102.688
137,198406,1041.502
138,198407,1119.507
139,198408,1154.869
140,198409,1018.654
141,198410,1000.712
142,198411,1195.634
143,198412,1592.544
144,198501,1976.204
145,198502,1928.938
146,198503,1523.566
147,198504,1205.273
148,198505,1007.27
149,198506,1023.661
150,198507,1135.445
151,198508,1143.572
152,198509,1052.439
153,198510,1045.758
154,198511,1186.129
155,198512,1813.897
156,198601,1999.223
157,198602,1699.162
158,198603,1548.351
159,198604,1182.404
